Référence offre;Intitule;Poste;Secteur activité;Entreprise;Type d'entreprise;Lieu;Groupe de contrat;Type contrat;Date de publication ;Mois;Trimestre
JOB250002292;Chef de salle;1;Hôtellerie - Restauration;242 Tacos Street;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;23/9/2025;Septembre;T3
JOB250002293;Agent Polyvalent;1;Hôtellerie - Restauration;242 Tacos Street;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;23/9/2025;Septembre;T3
JOB250002294;Cuisinier ;1;Hôtellerie - Restauration;242 Tacos Street;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;23/9/2025;Septembre;T3
JOB250002295;Manager;1;Hôtellerie - Restauration;242 Tacos Street;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;23/9/2025;Septembre;T3
JOB250002297;CAISSIER;1;Hôtellerie - Restauration;242 Tacos Street;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;23/9/2025;Septembre;T3
JOB250002644;Responsable d'exploitation;1;"Pétrole, Gaz & Hydrocarbures";3C Logistique;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;12/11/2025;Novembre;T4
JOB250002645;Chauffeur Semi-Remorque;1;"Transport, Logistique & Supply Chain";3C Logistique;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;12/11/2025;Novembre;T4
JOB250002742;Comptable senior ;1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";3C Logistique;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;26/11/2025;Novembre;T4
JOB250002743;Comptable senior ;1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";3C Logistique;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;27/11/2025;Novembre;T4
JOB250002438;secrétaire bureautique;1;"Conseil, Stratégie & Gestion des Ressources Humaines";ADIE SOLUTIONS;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;16/10/2025;Octobre;T4
JOB250002440;Gestionnaire ;1;"Commerce, Vente, Marketing & Distribution";ADIE SOLUTIONS;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;16/10/2025;Octobre;T4
JOB250002528;CAISSIER;1;"Commerce, Vente, Marketing & Distribution";ADIE SOLUTIONS;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;28/10/2025;Octobre;T4
JOB250002531;Gestionnaire ;1;"Commerce, Vente, Marketing & Distribution";ADIE SOLUTIONS;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;28/10/2025;Octobre;T4
JOB250002532;secrétaire bureautique;1;"Conseil, Stratégie & Gestion des Ressources Humaines";ADIE SOLUTIONS;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;28/10/2025;Octobre;T4
JOB250002533;Gestionnaire de stocks;1;"Commerce, Vente, Marketing & Distribution";ADIE SOLUTIONS;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;28/10/2025;Octobre;T4
JOB250001768;Agent Exploitation Escale;1;"Transport, Logistique & Supply Chain";AERCO (Aéroports du Congo);Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;24/7/2025;Juillet;T3
JOB250001769;Agent Exploitation Aérogare;1;"Transport, Logistique & Supply Chain";AERCO (Aéroports du Congo);Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;24/7/2025;Juillet;T3
JOB250000969;coordinateur des operations logistiques;1;"Transport, Logistique & Supply Chain";AFRICA GLOBAL LOGISTICS CONGO (AGL);Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;23/4/2025;Avril;T2
JOB250001179;CAISSIER;1;"Transport, Logistique & Supply Chain";AFRICA GLOBAL LOGISTICS CONGO (AGL);Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;20/5/2025;Mai;T2
JOB250001212;RESPONSABLE D'ENTREPOT;1;"Transport, Logistique & Supply Chain";AFRICA GLOBAL LOGISTICS CONGO (AGL);Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;22/5/2025;Mai;T2
JOB250001213;GESTIONNAIRE DE STOCK;1;"Transport, Logistique & Supply Chain";AFRICA GLOBAL LOGISTICS CONGO (AGL);Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;22/5/2025;Mai;T2
JOB250001328;Responsable Audit Interne ;1;"Transport, Logistique & Supply Chain";AFRICA GLOBAL LOGISTICS CONGO (AGL);Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;5/6/2025;Juin;T2
JOB250001622;Chef magasinier ;1;"Industrie, Production & Maintenance";AFRICA GLOBAL LOGISTICS CONGO (AGL);Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;4/7/2025;Juillet;T3
JOB250001650;Administrateur Réseaux-Téléccom & Controle Accès;1;"Informatique, Data, Télécommunications & Digital";AFRICA GLOBAL LOGISTICS CONGO (AGL);Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;8/7/2025;Juillet;T3
JOB250001856;OPERATEUR DOSSIER (FOP);1;"Transport, Logistique & Supply Chain";AFRICA GLOBAL LOGISTICS CONGO (AGL);Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;4/8/2025;Août;T3
JOB250001857;AGENTS DE RECOUVREMENT;2;"Finance, Banque, Assurance, Comptabilité & Fiscalité";AFRICA GLOBAL LOGISTICS CONGO (AGL);Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;4/8/2025;Août;T3
JOB250002348;Coordinateur des Opérations;1;"Transport, Logistique & Supply Chain";AFRICA GLOBAL LOGISTICS CONGO (AGL);Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;3/10/2025;Octobre;T4
JOB250002366;Assistant Qualité;1;"Assurance Qualité, Contrôle, Testing (QHSE)";AFRICA GLOBAL LOGISTICS CONGO (AGL);Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;7/10/2025;Octobre;T4
JOB250002561;Superviseur des Opérations Logistiques;1;"Commerce, Vente, Marketing & Distribution";AFRICA GLOBAL LOGISTICS CONGO (AGL);Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;4/11/2025;Novembre;T4
JOB250002847;Fiscaliste;1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";AFRICA GLOBAL LOGISTICS CONGO (AGL);Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;19/12/2025;Décembre;T4
JOB250002848;Responsable Administratif et Financier Shipping ;1;"Conseil, Stratégie & Gestion des Ressources Humaines";AFRICA GLOBAL LOGISTICS CONGO (AGL);Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;19/12/2025;Décembre;T4
JOB250002849;Controleur de Gestion;1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";AFRICA GLOBAL LOGISTICS CONGO (AGL);Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;19/12/2025;Décembre;T4
JOB250002852;Responsable Développement RH ;1;"Conseil, Stratégie & Gestion des Ressources Humaines";AFRICA GLOBAL LOGISTICS CONGO (AGL);Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;19/12/2025;Décembre;T4
NONREF000399;Responsable Qualité;1;"Transport, Logistique & Supply Chain";AFRICA GLOBAL LOGISTICS CONGO (AGL);Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;2025-12-30;Décembre;T4
JOB250002181;Directeur Administratif et Financier;1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";AFRICA LEADER CONTRACTING INDUSTRIES;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;9/9/2025;Septembre;T3
JOB250001762;Agent Customer Registration (KYC);1;"Commerce, Vente, Marketing & Distribution";AFRICA MOTOR COMPANY;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;24/7/2025;Juillet;T3
NONREF000044;Assistante RH;1;"Conseil, Stratégie & Gestion des Ressources Humaines";AFRICAINE DES M C;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;24/2/2025;Février;T1
NONREF000162;Jardiniers;1;"Transport, Logistique & Supply Chain";AFRIK GLOBAL EXTENSION;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;29/1/2025;Janvier;T1
NONREF000214;Responsable logistique;1;"Transport, Logistique & Supply Chain";AFRIK GLOBAL EXTENSION;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;29/1/2025;Janvier;T1
JOB250000839;SOUDEUR;1;"Industrie, Production & Maintenance";AFRIK GLOBAL EXTENSION HR CONGO SARL;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;7/3/2025;Mars;T1
JOB250000840;RESPONSABLE PONT ADJOINT;1;"Commerce, Vente, Marketing & Distribution";AFRIK GLOBAL EXTENSION HR CONGO SARL;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;7/3/2025;Mars;T1
JOB250000841;CHEF D'EQUIPE MECANICIEN;1;"Commerce, Vente, Marketing & Distribution";AFRIK GLOBAL EXTENSION HR CONGO SARL;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;7/3/2025;Mars;T1
JOB250001775;RESPONSABLE DE STOCK;1;"Conseil, Stratégie & Gestion des Ressources Humaines";AFRIK GLOBAL EXTENSION HR CONGO SARL;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;25/7/2025;Juillet;T3
JOB250001859;Assistant Logistique;1;"Transport, Logistique & Supply Chain";AFRIK GLOBAL EXTENSION HR CONGO SARL;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;5/8/2025;Août;T3
NONREF000108;Conducteur pelle;1;"Transport, Logistique & Supply Chain";AFRIKA GLOBAL EXTENSION;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;21/1/2025;Janvier;T1
NONREF000084;Chef d'équipe mécanicien;1;"Transport, Logistique & Supply Chain";AFRIK-GLOBAL;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;18/3/2025;Mars;T1
NONREF000218;Responsable Pont;1;"Transport, Logistique & Supply Chain";AFRIK-GLOBAL;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;15/3/2025;Mars;T1
NONREF000233;Soudeur;1;"Transport, Logistique & Supply Chain";AFRIK-GLOBAL;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;18/3/2025;Mars;T1
JOB250001820;INSTRUMENTISTES;10;"Pétrole, Gaz & Hydrocarbures";AG GROUP;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;31/7/2025;Juillet;T3
JOB250001821;SPECIALISTER.H;1;"Bâtiment, Travaux Publics & Aménagement du Territoire";AG GROUP;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;31/7/2025;Juillet;T3
JOB250001822;SERVANT ( Cuisine et Ménage);1;"Conseil, Stratégie & Gestion des Ressources Humaines";AG GROUP;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;31/7/2025;Juillet;T3
JOB250001824;RESPONSABLE FINANCIER;1;"Bâtiment, Travaux Publics & Aménagement du Territoire";AG GROUP;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;31/7/2025;Juillet;T3
JOB250001826;COMPTABLE ;1;"Bâtiment, Travaux Publics & Aménagement du Territoire";AG GROUP;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;31/7/2025;Juillet;T3
JOB250001827;RESPONSABLE DE RESOURCE HUMAINES;1;"Bâtiment, Travaux Publics & Aménagement du Territoire";AG GROUP;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;31/7/2025;Juillet;T3
JOB250001828;CHEF DE PROJET ;1;"Bâtiment, Travaux Publics & Aménagement du Territoire";AG GROUP;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;31/7/2025;Juillet;T3
JOB250001829;TECHNICIEN D'INSTALLATION;1;"Bâtiment, Travaux Publics & Aménagement du Territoire";AG GROUP;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;31/7/2025;Juillet;T3
JOB250001831;GEOMETRE;1;"Bâtiment, Travaux Publics & Aménagement du Territoire";AG GROUP;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;1/8/2025;Août;T3
JOB250001833;AIDE GEOMETRE;1;"Bâtiment, Travaux Publics & Aménagement du Territoire";AG GROUP;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;1/8/2025;Août;T3
JOB250001836;CONDUCTEUR D'EQUIPEMENT;1;"Bâtiment, Travaux Publics & Aménagement du Territoire";AG GROUP;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;1/8/2025;Août;T3
JOB250002089;Ingénieur Agronome Forestier (Chef de projet);1;Exploitation Forestière & Bois;AG GROUP;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;1/9/2025;Septembre;T3
JOB250002094;Ouvrier Forestier;1;Agriculture & Industrie Agroalimentaire;AG GROUP;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;2/9/2025;Septembre;T3
JOB250002095;Chauffeur Grutier;1;Agriculture & Industrie Agroalimentaire;AG GROUP;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;2/9/2025;Septembre;T3
JOB250002097;Conducteur d'Engin;1;Agriculture & Industrie Agroalimentaire;AG GROUP;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;2/9/2025;Septembre;T3
JOB250002098;Pépinieriste Forestier;1;Agriculture & Industrie Agroalimentaire;AG GROUP;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;2/9/2025;Septembre;T3
JOB250002099;Spécialiste en protection des végétaux;1;Agriculture & Industrie Agroalimentaire;AG GROUP;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;2/9/2025;Septembre;T3
JOB250002100;Technicien Forestier;1;Agriculture & Industrie Agroalimentaire;AG GROUP;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;2/9/2025;Septembre;T3
NONREF000005;Agent commercial ligne Mart;1;"Transport, Logistique & Supply Chain";AGL;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;14/2/2025;Février;T1
NONREF000013;Agent logistique et Int;1;"Transport, Logistique & Supply Chain";AGL;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;14/2/2025;Février;T1
NONREF000052;Auditeur interne junior;1;"Transport, Logistique & Supply Chain";AGL;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;31/1/2025;Janvier;T1
NONREF000096;Comptable;1;"Transport, Logistique & Supply Chain";AGL;Entreprise Privée;POINTE-NOIRE;Emploi Durable;CDI;2/1/2025;Janvier;T1
JOB250001715;Assistant de Direction;1;"Conseil, Stratégie & Gestion des Ressources Humaines";AGROVA;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;21/7/2025;Juillet;T3
JOB250002289;AGRONOME;1;Agriculture & Industrie Agroalimentaire;AGROVA;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;23/9/2025;Septembre;T3
NONREF000055;Business developer;1;"Industrie, Production & Maintenance";AIR LIQUIDE;Entreprise Privée;POINTE-NOIRE;Emploi Temporaire;CDD;21/1/2025;Janvier;T1
JOB250001232;Superviseur Marketing - Internet Résidentiel (Home Broadband) ;1;"Commerce, Vente, Marketing & Distribution";AIRTEL CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;25/5/2025;Mai;T2
JOB250001233;Superviseur Régional des Ventes - Internet Résidentiel HBB (Home Broadband) ;1;"Commerce, Vente, Marketing & Distribution";AIRTEL CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;25/5/2025;Mai;T2
JOB250001234;Analyste des activités - Internet Résidentiel HBB (Home Broadband) ;1;"Commerce, Vente, Marketing & Distribution";AIRTEL CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;25/5/2025;Mai;T2
JOB250001235;Superviseur Expérience Client - Internet Résidentiel;1;"Commerce, Vente, Marketing & Distribution";AIRTEL CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;25/5/2025;Mai;T2
JOB250001591;SPECIALISTE FRAUDE;1;"Informatique, Data, Télécommunications & Digital";AIRTEL CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;3/7/2025;Juillet;T3
JOB250001684;contrôleur interne;1;"Commerce, Vente, Marketing & Distribution";AIRTEL CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;14/7/2025;Juillet;T3
JOB250001951;DISTRIBUTION MANAGER;1;"Transport, Logistique & Supply Chain";AIRTEL CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;14/8/2025;Août;T3
JOB250002615;ASSISTANT DES OPERATIONS AIRTEL MONEY;1;"Informatique, Data, Télécommunications & Digital";AIRTEL CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/11/2025;Novembre;T4
JOB250002769;Head-Business segment(chef de secteur d'activité);1;"Commerce, Vente, Marketing & Distribution";AIRTEL CONGO SA;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;5/12/2025;Décembre;T4
JOB250001014;CHEF DE PRODUIT;1;"Informatique, Data, Télécommunications & Digital";AKIENI;Entreprise Privée;BRAZZAVILLE;Emploi Durable;CDI;29/4/2025;Avril;T2
JOB250001442;Assistant Polyvalent;1;"Conseil, Stratégie & Gestion des Ressources Humaines";AKIENI;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;20/6/2025;Juin;T2
JOB250002167;COMPTABLE ;1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";AKIENI;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;8/9/2025;Septembre;T3
JOB250002216;Directeur Administratif et Financier;1;"Conseil, Stratégie & Gestion des Ressources Humaines";AKIENI;Entreprise Privée;BRAZZAVILLE;Emploi Durable;CDI;11/9/2025;Septembre;T3
JOB250002218;RESPONSABLE DESRESSOURSES HUMAINES;1;"Conseil, Stratégie & Gestion des Ressources Humaines";AKIENI;Entreprise Privée;BRAZZAVILLE;Emploi Durable;CDI;11/9/2025;Septembre;T3
JOB250002349;Ingénieur Devops Senior;1;"Informatique, Data, Télécommunications & Digital";AKIENI;Entreprise Privée;BRAZZAVILLE;Emploi Durable;CDI;3/10/2025;Octobre;T4
JOB250001020;CHAUFFEUR DU DIRECTEUR GENERAL;1;"Transport, Logistique & Supply Chain";AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;30/4/2025;Avril;T2
JOB250001030;COMMIS DE CUISINE ;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Durable;CDI;6/5/2025;Mai;T2
JOB250001031;MENUISIER;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;6/5/2025;Mai;T2
JOB250001032;PLONGEUR;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;6/5/2025;Mai;T2
JOB250001033;Responsable de garde ;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;6/5/2025;Mai;T2
JOB250001034;RESPONSABLE SÉCURITÉ ;1;"Sécurité, Sûreté & Défense";AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;6/5/2025;Mai;T2
JOB250001035;Technicien Audiovisuel ;1;"Communication, Médias & Événementiel";AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Durable;CDI;6/5/2025;Mai;T2
JOB250001036;RESPONSABLE MARKETING;1;"Commerce, Vente, Marketing & Distribution";AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Durable;CDI;6/5/2025;Mai;T2
JOB250001037;RESPENSABLE COMMERCIAL;1;"Commerce, Vente, Marketing & Distribution";AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;6/5/2025;Mai;T2
